trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount
44297494,71459258,1586131200743,3,6775.0,BTC-PERPETUAL,6777.34,sell,250.0
44297495,71459259,1586131201325,3,6775.0,BTC-PERPETUAL,6777.7,sell,530.0
44297496,71459260,1586131201859,3,6775.0,BTC-PERPETUAL,6777.7,sell,10.0
44297497,71459261,1586131202375,3,6775.0,BTC-PERPETUAL,6777.72,sell,10.0
44297498,71459262,1586131202907,3,6775.0,BTC-PERPETUAL,6777.72,sell,10.0
44297499,71459263,1586131207727,0,6777.0,BTC-PERPETUAL,6778.12,buy,1170.0
44297500,71459265,1586131207796,1,6777.0,BTC-PERPETUAL,6778.12,buy,3830.0
44297501,71459266,1586131208242,0,6778.0,BTC-PERPETUAL,6778.12,buy,10.0
44297502,71459272,1586131221233,0,6780.0,BTC-PERPETUAL,6779.72,sell,20.0
44297503,71459275,1586131221596,2,6777.0,BTC-PERPETUAL,6779.32,sell,1000.0
44297504,71459276,1586131221705,2,6776.0,BTC-PERPETUAL,6779.32,sell,680.0
44297505,71459277,1586131222311,2,6775.5,BTC-PERPETUAL,6779.32,sell,1000.0
44297506,71459278,1586131222474,2,6775.0,BTC-PERPETUAL,6778.25,sell,1000.0
44297507,71459279,1586131222559,3,6775.0,BTC-PERPETUAL,6778.25,sell,710.0
44297508,71459280,1586131222604,3,6775.0,BTC-PERPETUAL,6778.25,sell,1580.0
44297509,71459281,1586131222938,3,6775.0,BTC-PERPETUAL,6778.25,sell,2520.0
44297510,71459282,1586131222972,3,6775.0,BTC-PERPETUAL,6778.25,sell,2320.0
44297511,71459283,1586131224670,2,6774.0,BTC-PERPETUAL,6776.86,sell,500.0
44297512,71459284,1586131224670,3,6774.0,BTC-PERPETUAL,6776.86,sell,500.0
44297513,71459285,1586131224670,3,6774.0,BTC-PERPETUAL,6776.86,sell,1000.0
44297514,71459286,1586131224670,3,6774.0,BTC-PERPETUAL,6776.86,sell,510.0
44297515,71459287,1586131224670,3,6774.0,BTC-PERPETUAL,6776.86,sell,10.0
44297516,71459288,1586131224670,3,6774.0,BTC-PERPETUAL,6776.86,sell,10.0
44297517,71459289,1586131225559,2,6773.0,BTC-PERPETUAL,6774.24,sell,50.0
44297518,71459290,1586131225559,3,6773.0,BTC-PERPETUAL,6774.24,sell,40.0
44297519,71459291,1586131225559,3,6773.0,BTC-PERPETUAL,6774.24,sell,40.0
44297520,71459292,1586131225559,3,6773.0,BTC-PERPETUAL,6774.24,sell,40.0
44297521,71459293,1586131225559,3,6773.0,BTC-PERPETUAL,6774.24,sell,10000.0
44297522,71459294,1586131225559,3,6773.0,BTC-PERPETUAL,6774.24,sell,460.0
44297523,71459295,1586131229315,2,6772.5,BTC-PERPETUAL,6774.45,sell,40.0
44297524,71459296,1586131229315,3,6772.5,BTC-PERPETUAL,6774.45,sell,40.0
44297525,71459297,1586131229315,3,6772.5,BTC-PERPETUAL,6774.45,sell,50.0
44297526,71459298,1586131229315,3,6772.5,BTC-PERPETUAL,6774.45,sell,460.0
44297527,71459299,1586131229315,3,6772.5,BTC-PERPETUAL,6774.45,sell,11840.0
44297528,71459300,1586131230808,2,6772.0,BTC-PERPETUAL,6772.54,sell,20.0
44297529,71459301,1586131230808,3,6772.0,BTC-PERPETUAL,6772.54,sell,10.0
44297530,71459302,1586131230808,3,6772.0,BTC-PERPETUAL,6772.54,sell,10.0
44297531,71459303,1586131230808,3,6772.0,BTC-PERPETUAL,6772.54,sell,40.0
44297532,71459304,1586131230808,3,6772.0,BTC-PERPETUAL,6772.54,sell,110.0
44297533,71459305,1586131230808,2,6771.0,BTC-PERPETUAL,6772.54,sell,450.0
44297534,71459306,1586131230808,3,6771.0,BTC-PERPETUAL,6772.54,sell,50.0
44297535,71459307,1586131230808,3,6771.0,BTC-PERPETUAL,6772.54,sell,10.0
44297536,71459308,1586131230808,2,6770.0,BTC-PERPETUAL,6772.54,sell,50.0
