trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount,liquidation
44564819,71803406,1586390401264,0,7364.0,BTC-PERPETUAL,7368.63,buy,220.0,
44564820,71803407,1586390404167,2,7363.5,BTC-PERPETUAL,7368.79,sell,200.0,
44564821,71803408,1586390404381,3,7363.5,BTC-PERPETUAL,7368.79,sell,10.0,
44564822,71803413,1586390410649,3,7363.5,BTC-PERPETUAL,7367.01,sell,10.0,
44564823,71803414,1586390410649,3,7363.5,BTC-PERPETUAL,7367.01,sell,2390.0,
44564824,71803416,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,150.0,
44564825,71803417,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,10.0,
44564826,71803418,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,20.0,
44564827,71803419,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,50.0,
44564828,71803420,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,20.0,
44564829,71803421,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,40.0,
44564830,71803422,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,10.0,
44564831,71803423,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,20.0,
44564832,71803424,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,40.0,
44564833,71803425,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,20.0,
44564834,71803426,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,50.0,
44564835,71803427,1586390423156,3,7363.5,BTC-PERPETUAL,7363.99,sell,150.0,
44564836,71803429,1586390423179,2,7363.0,BTC-PERPETUAL,7363.99,sell,60.0,
44564837,71803431,1586390423306,2,7362.5,BTC-PERPETUAL,7363.99,sell,60.0,
44564838,71803433,1586390424025,2,7362.0,BTC-PERPETUAL,7363.56,sell,10.0,
44564839,71803434,1586390424025,3,7362.0,BTC-PERPETUAL,7363.56,sell,29990.0,
44564840,71803435,1586390424025,3,7362.0,BTC-PERPETUAL,7363.56,sell,20.0,
44564841,71803436,1586390424055,2,7361.0,BTC-PERPETUAL,7363.56,sell,250.0,
44564842,71803437,1586390424055,3,7361.0,BTC-PERPETUAL,7363.56,sell,250.0,
44564843,71803438,1586390424206,2,7360.5,BTC-PERPETUAL,7363.56,sell,10.0,
44564844,71803439,1586390424206,2,7360.0,BTC-PERPETUAL,7363.56,sell,860.0,
44564845,71803440,1586390424357,3,7360.0,BTC-PERPETUAL,7363.56,sell,140.0,
44564846,71803441,1586390424357,3,7360.0,BTC-PERPETUAL,7363.56,sell,1620.0,
44564847,71803442,1586390424870,3,7360.0,BTC-PERPETUAL,7363.56,sell,300.0,
44564848,71803443,1586390424870,3,7360.0,BTC-PERPETUAL,7363.56,sell,1460.0,
44564849,71803444,1586390425343,2,7359.5,BTC-PERPETUAL,7363.41,sell,20.0,
44564850,71803445,1586390425343,2,7359.0,BTC-PERPETUAL,7363.41,sell,10.0,
44564851,71803446,1586390425343,3,7359.0,BTC-PERPETUAL,7363.41,sell,470.0,
44564852,71803447,1586390425370,3,7359.0,BTC-PERPETUAL,7363.41,sell,1760.0,
44564853,71803448,1586390425495,2,7358.5,BTC-PERPETUAL,7363.41,sell,3110.0,
44564854,71803449,1586390425495,3,7358.5,BTC-PERPETUAL,7363.41,sell,100.0,
44564855,71803450,1586390425495,3,7358.5,BTC-PERPETUAL,7363.41,sell,36790.0,
44564856,71803458,1586390432355,2,7358.0,BTC-PERPETUAL,7359.84,sell,960.0,
44564857,71803459,1586390432355,3,7358.0,BTC-PERPETUAL,7359.84,sell,60.0,
44564858,71803460,1586390432355,3,7358.0,BTC-PERPETUAL,7359.84,sell,150.0,
44564859,71803461,1586390432355,3,7358.0,BTC-PERPETUAL,7359.84,sell,10.0,
44564860,71803462,1586390432355,2,7357.5,BTC-PERPETUAL,7359.84,sell,130.0,
44564861,71803463,1586390432355,2,7356.5,BTC-PERPETUAL,7359.84,sell,70.0,
44564862,71803464,1586390432355,2,7356.0,BTC-PERPETUAL,7359.84,sell,1200.0,
44564863,71803465,1586390432355,3,7356.0,BTC-PERPETUAL,7359.84,sell,240.0,
44564864,71803467,1586390432576,3,7356.0,BTC-PERPETUAL,7359.84,sell,1760.0,
44564865,71803468,1586390432583,2,7355.5,BTC-PERPETUAL,7359.84,sell,130.0,
44564866,71803469,1586390432583,3,7355.5,BTC-PERPETUAL,7359.84,sell,220.0,
44564867,71803471,1586390432588,2,7355.0,BTC-PERPETUAL,7359.84,sell,10.0,
44564868,71803472,1586390432588,3,7355.0,BTC-PERPETUAL,7359.84,sell,130.0,
44564869,71803473,1586390432588,3,7355.0,BTC-PERPETUAL,7359.84,sell,130.0,
44564870,71803474,1586390432588,3,7355.0,BTC-PERPETUAL,7359.84,sell,20.0,
44564871,71803475,1586390432588,2,7354.5,BTC-PERPETUAL,7359.84,sell,90.0,
44564872,71803476,1586390432588,2,7353.5,BTC-PERPETUAL,7359.84,sell,90.0,
44564873,71803477,1586390432588,3,7353.5,BTC-PERPETUAL,7359.84,sell,250.0,
44564874,71803478,1586390432588,3,7353.5,BTC-PERPETUAL,7359.84,sell,1440.0,
44564875,71803479,1586390432593,3,7353.5,BTC-PERPETUAL,7359.84,sell,1830.0,
44564876,71803480,1586390432595,3,7353.5,BTC-PERPETUAL,7359.84,sell,1730.0,
44564877,71803481,1586390432601,2,7353.0,BTC-PERPETUAL,7359.84,sell,1560.0,
44564878,71803482,1586390432672,2,7352.0,BTC-PERPETUAL,7359.84,sell,10.0,
44564879,71803483,1586390432672,3,7352.0,BTC-PERPETUAL,7359.84,sell,20.0,
44564880,71803484,1586390432672,3,7352.0,BTC-PERPETUAL,7359.84,sell,30.0,
44564881,71803485,1586390432672,3,7352.0,BTC-PERPETUAL,7359.84,sell,940.0,
44564882,71803486,1586390432746,3,7352.0,BTC-PERPETUAL,7359.84,sell,4260.0,
44564883,71803488,1586390432835,3,7352.0,BTC-PERPETUAL,7359.84,sell,870.0,
44564884,71803489,1586390432861,3,7352.0,BTC-PERPETUAL,7359.84,sell,990.0,
44564885,71803491,1586390433117,3,7352.0,BTC-PERPETUAL,7357.37,sell,1710.0,
44564886,71803494,1586390433144,3,7352.0,BTC-PERPETUAL,7357.37,sell,1250.0,
44564887,71803495,1586390433147,3,7352.0,BTC-PERPETUAL,7357.37,sell,1710.0,
44564888,71803496,1586390433169,3,7352.0,BTC-PERPETUAL,7357.37,sell,1710.0,
44564889,71803497,1586390433358,3,7352.0,BTC-PERPETUAL,7357.37,sell,2880.0,
44564890,71803498,1586390433358,2,7351.0,BTC-PERPETUAL,7357.37,sell,880.0,
44564891,71803499,1586390433365,3,7351.0,BTC-PERPETUAL,7357.37,sell,740.0,
44564892,71803500,1586390433365,2,7350.5,BTC-PERPETUAL,7357.37,sell,480.0,
44564893,71803501,1586390433365,2,7350.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564894,71803502,1586390433365,3,7350.0,BTC-PERPETUAL,7357.37,sell,270.0,
44564895,71803504,1586390433751,2,7349.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564896,71803505,1586390433751,3,7349.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564897,71803506,1586390433751,3,7349.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564898,71803507,1586390433751,3,7349.0,BTC-PERPETUAL,7357.37,sell,250.0,
44564899,71803508,1586390433751,2,7348.5,BTC-PERPETUAL,7357.37,sell,60.0,
44564900,71803509,1586390433751,3,7348.5,BTC-PERPETUAL,7357.37,sell,60.0,
44564901,71803510,1586390433751,3,7348.5,BTC-PERPETUAL,7357.37,sell,60.0,
44564902,71803511,1586390433751,2,7348.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564903,71803512,1586390433751,3,7348.0,BTC-PERPETUAL,7357.37,sell,10.0,
44564904,71803513,1586390433751,3,7348.0,BTC-PERPETUAL,7357.37,sell,100.0,
44564905,71803514,1586390433751,2,7347.5,BTC-PERPETUAL,7357.37,sell,1000.0,
44564906,71803515,1586390433751,3,7347.5,BTC-PERPETUAL,7357.37,sell,11620.0,
44564907,71803516,1586390433901,2,7347.0,BTC-PERPETUAL,7357.37,sell,1000.0,
44564908,71803517,1586390434454,0,7347.5,BTC-PERPETUAL,7356.47,buy,2400.0,
44564909,71803518,1586390435154,1,7347.5,BTC-PERPETUAL,7355.38,buy,1800.0,
