trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount
46635808,74579264,1588291200277,2,8627.0,BTC-PERPETUAL,8628.91,sell,10.0
46635809,74579265,1588291200277,3,8627.0,BTC-PERPETUAL,8628.91,sell,10.0
46635810,74579266,1588291200277,3,8627.0,BTC-PERPETUAL,8628.91,sell,10.0
46635811,74579267,1588291200277,3,8627.0,BTC-PERPETUAL,8628.91,sell,240.0
46635812,74579268,1588291200277,3,8627.0,BTC-PERPETUAL,8628.91,sell,100.0
46635813,74579269,1588291200300,2,8626.5,BTC-PERPETUAL,8628.91,sell,70.0
46635814,74579270,1588291200565,3,8626.5,BTC-PERPETUAL,8628.91,sell,50.0
46635815,74579271,1588291201317,3,8626.5,BTC-PERPETUAL,8626.77,sell,50.0
46635816,74579273,1588291201853,3,8626.5,BTC-PERPETUAL,8626.37,sell,70.0
46635817,74579274,1588291202235,3,8626.5,BTC-PERPETUAL,8626.37,sell,10.0
46635818,74579275,1588291202235,3,8626.5,BTC-PERPETUAL,8626.37,sell,40.0
46635819,74579277,1588291204788,0,8627.0,BTC-PERPETUAL,8625.79,buy,370.0
46635820,74579278,1588291205589,1,8627.0,BTC-PERPETUAL,8624.79,buy,1000.0
46635821,74579279,1588291205907,2,8626.5,BTC-PERPETUAL,8624.66,sell,10.0
46635822,74579280,1588291205907,3,8626.5,BTC-PERPETUAL,8624.66,sell,1200.0
46635823,74579281,1588291205909,3,8626.5,BTC-PERPETUAL,8624.66,sell,1620.0
46635824,74579282,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,4350.0
46635825,74579283,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,5230.0
46635826,74579284,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,250.0
46635827,74579285,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,20.0
46635828,74579286,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,20.0
46635829,74579287,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,250.0
46635830,74579288,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,560.0
46635831,74579289,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,20.0
46635832,74579290,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,100.0
46635833,74579291,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,100.0
46635834,74579292,1588291205912,3,8626.5,BTC-PERPETUAL,8624.66,sell,1770.0
46635835,74579293,1588291205913,3,8626.5,BTC-PERPETUAL,8624.66,sell,180.0
46635836,74579294,1588291205913,3,8626.5,BTC-PERPETUAL,8624.66,sell,30.0
46635837,74579295,1588291205913,3,8626.5,BTC-PERPETUAL,8624.66,sell,260.0
46635838,74579296,1588291205915,3,8626.5,BTC-PERPETUAL,8624.66,sell,110.0
46635839,74579297,1588291205915,3,8626.5,BTC-PERPETUAL,8624.66,sell,770.0
