amount,direction,index_price,instrument_name,price,tick_direction,timestamp,trade_id,trade_seq
10.0,buy,3693.84,BTC-PERPETUAL,3697.0,0,1546300807203,13852614,2382295
1840.0,buy,3693.84,BTC-PERPETUAL,3697.0,1,1546300809400,13852615,2382296
160.0,buy,3693.84,BTC-PERPETUAL,3697.0,1,1546300809400,13852616,2382297
1000.0,buy,3693.85,BTC-PERPETUAL,3697.0,1,1546300815586,13852618,2382298
400.0,sell,3694.5,BTC-PERPETUAL,3696.5,2,1546300827365,13852620,2382299
500.0,sell,3694.5,BTC-PERPETUAL,3696.5,3,1546300827365,13852621,2382300
4100.0,sell,3694.5,BTC-PERPETUAL,3696.5,3,1546300827365,13852622,2382301
180.0,sell,3693.99,BTC-PERPETUAL,3696.5,3,1546300834081,13852623,2382302
180.0,sell,3693.99,BTC-PERPETUAL,3696.5,3,1546300834081,13852624,2382303
180.0,sell,3693.99,BTC-PERPETUAL,3696.5,3,1546300834081,13852625,2382304
350.0,sell,3693.99,BTC-PERPETUAL,3696.5,3,1546300834081,13852626,2382305
600.0,buy,3694.26,BTC-PERPETUAL,3697.0,0,1546300865316,13852627,2382306
10.0,sell,3694.17,BTC-PERPETUAL,3696.5,2,1546300867743,13852628,2382307
100.0,sell,3694.17,BTC-PERPETUAL,3696.5,3,1546300867743,13852629,2382308
6070.0,sell,3694.17,BTC-PERPETUAL,3696.5,3,1546300867743,13852630,2382309
1820.0,sell,3694.17,BTC-PERPETUAL,3696.5,3,1546300867743,13852631,2382310
500.0,sell,3693.66,BTC-PERPETUAL,3696.5,3,1546300870580,13852633,2382311
400.0,sell,3693.66,BTC-PERPETUAL,3696.5,3,1546300870580,13852634,2382312
600.0,sell,3693.66,BTC-PERPETUAL,3696.0,2,1546300870580,13852635,2382313
24390.0,sell,3691.07,BTC-PERPETUAL,3696.0,3,1546300893342,13852683,2382314
5010.0,sell,3691.07,BTC-PERPETUAL,3696.0,3,1546300895196,13852705,2382315
110.0,sell,3691.07,BTC-PERPETUAL,3696.0,3,1546300895196,13852706,2382316
80.0,sell,3690.51,BTC-PERPETUAL,3694.0,2,1546300918020,13852708,2382317
250.0,sell,3690.51,BTC-PERPETUAL,3694.0,3,1546300918020,13852709,2382318
400.0,sell,3690.51,BTC-PERPETUAL,3694.0,3,1546300918020,13852710,2382319
270.0,sell,3690.51,BTC-PERPETUAL,3692.5,2,1546300918020,13852711,2382320
90.0,sell,3689.06,BTC-PERPETUAL,3693.0,0,1546300939601,13852713,2382321
250.0,sell,3689.06,BTC-PERPETUAL,3693.0,1,1546300939601,13852714,2382322
200.0,sell,3689.06,BTC-PERPETUAL,3693.0,1,1546300939601,13852715,2382323
250.0,buy,3689.61,BTC-PERPETUAL,3693.5,0,1546300949417,13852716,2382324
200.0,buy,3689.61,BTC-PERPETUAL,3693.5,1,1546300949417,13852717,2382325
50.0,buy,3689.61,BTC-PERPETUAL,3693.5,1,1546300949417,13852718,2382326
250.0,sell,3688.58,BTC-PERPETUAL,3693.0,2,1546300963502,13852720,2382327
200.0,sell,3688.58,BTC-PERPETUAL,3693.0,3,1546300963502,13852721,2382328
180.0,buy,3688.58,BTC-PERPETUAL,3693.5,0,1546300974706,13852722,2382329
180.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852723,2382330
180.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852724,2382331
250.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852725,2382332
200.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852726,2382333
100.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852727,2382334
250.0,buy,3688.58,BTC-PERPETUAL,3693.5,1,1546300974706,13852728,2382335
1660.0,buy,3688.58,BTC-PERPETUAL,3694.5,0,1546300974706,13852729,2382336
250.0,sell,3688.39,BTC-PERPETUAL,3693.0,2,1546300989428,13852730,2382337
50.0,sell,3688.39,BTC-PERPETUAL,3692.5,2,1546300989428,13852731,2382338
60.0,sell,3688.39,BTC-PERPETUAL,3692.0,2,1546300989428,13852732,2382339
180.0,sell,3688.39,BTC-PERPETUAL,3691.0,2,1546300989428,13852733,2382340
180.0,sell,3688.39,BTC-PERPETUAL,3691.0,3,1546300989428,13852734,2382341
80.0,sell,3688.39,BTC-PERPETUAL,3691.0,3,1546300989428,13852735,2382342
250.0,buy,3689.56,BTC-PERPETUAL,3693.0,0,1546301018665,13852739,2382343
200.0,buy,3689.56,BTC-PERPETUAL,3693.0,1,1546301018665,13852740,2382344
50.0,buy,3689.56,BTC-PERPETUAL,3693.0,1,1546301018665,13852741,2382345
180.0,buy,3689.39,BTC-PERPETUAL,3693.0,1,1546301070173,13852744,2382346
180.0,buy,3689.39,BTC-PERPETUAL,3693.0,1,1546301070173,13852745,2382347
