trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount
11837626,ETH-15148631,1586563200634,2,157.95,ETH-PERPETUAL,158.09,sell,10.0
11837627,ETH-15148632,1586563200634,3,157.95,ETH-PERPETUAL,158.09,sell,990.0
11837628,ETH-15148634,1586563202135,3,157.95,ETH-PERPETUAL,158.09,sell,310.0
11837629,ETH-15148635,1586563202135,3,157.95,ETH-PERPETUAL,158.09,sell,588.0
11837630,ETH-15148636,1586563202135,3,157.95,ETH-PERPETUAL,158.09,sell,102.0
11837631,ETH-15148638,1586563202251,3,157.95,ETH-PERPETUAL,158.09,sell,1000.0
11837632,ETH-15148639,1586563202299,0,158.0,ETH-PERPETUAL,158.09,buy,140.0
11837633,ETH-15148640,1586563202299,1,158.0,ETH-PERPETUAL,158.09,buy,400.0
11837634,ETH-15148641,1586563202299,1,158.0,ETH-PERPETUAL,158.09,buy,100.0
11837635,ETH-15148642,1586563202299,0,158.05,ETH-PERPETUAL,158.09,buy,1580.0
11837636,ETH-15148643,1586563202299,0,158.1,ETH-PERPETUAL,158.09,buy,13.0
11837637,ETH-15148644,1586563202299,1,158.1,ETH-PERPETUAL,158.09,buy,1.0
11837638,ETH-15148645,1586563202299,1,158.1,ETH-PERPETUAL,158.09,buy,40.0
11837639,ETH-15148646,1586563202299,1,158.1,ETH-PERPETUAL,158.09,buy,250.0
11837640,ETH-15148647,1586563202299,1,158.1,ETH-PERPETUAL,158.09,buy,2500.0
11837641,ETH-15148648,1586563202299,1,158.1,ETH-PERPETUAL,158.09,buy,10.0
11837642,ETH-15148649,1586563202299,0,158.15,ETH-PERPETUAL,158.09,buy,20000.0
11837643,ETH-15148650,1586563202299,1,158.15,ETH-PERPETUAL,158.09,buy,2500.0
11837644,ETH-15148651,1586563202299,1,158.15,ETH-PERPETUAL,158.09,buy,21930.0
11837645,ETH-15148652,1586563202299,0,158.2,ETH-PERPETUAL,158.09,buy,1.0
11837646,ETH-15148653,1586563202299,1,158.2,ETH-PERPETUAL,158.09,buy,3000.0
11837647,ETH-15148654,1586563202299,1,158.2,ETH-PERPETUAL,158.09,buy,1.0
11837648,ETH-15148655,1586563202299,1,158.2,ETH-PERPETUAL,158.09,buy,2500.0
11837649,ETH-15148656,1586563202299,1,158.2,ETH-PERPETUAL,158.09,buy,6494.0
11837650,ETH-15148660,1586563202349,2,158.0,ETH-PERPETUAL,158.09,sell,100.0
11837651,ETH-15148661,1586563202349,3,158.0,ETH-PERPETUAL,158.09,sell,300.0
11837652,ETH-15148662,1586563202349,3,158.0,ETH-PERPETUAL,158.09,sell,600.0
11837653,ETH-15148665,1586563202838,3,158.0,ETH-PERPETUAL,158.09,sell,30.0
11837654,ETH-15148670,1586563203416,3,158.0,ETH-PERPETUAL,158.09,sell,2012.0
11837655,ETH-15148671,1586563203440,3,158.0,ETH-PERPETUAL,158.09,sell,358.0
11837656,ETH-15148672,1586563203440,3,158.0,ETH-PERPETUAL,158.09,sell,155.0
11837657,ETH-15148673,1586563205747,0,158.05,ETH-PERPETUAL,158.11,buy,103.0
11837658,ETH-15148674,1586563206418,1,158.05,ETH-PERPETUAL,158.11,buy,897.0
11837659,ETH-15148676,1586563207785,0,158.1,ETH-PERPETUAL,158.15,sell,100.0
11837660,ETH-15148677,1586563207785,1,158.1,ETH-PERPETUAL,158.15,sell,45.0
11837661,ETH-15148682,1586563216099,0,158.15,ETH-PERPETUAL,158.2,buy,1000.0
11837662,ETH-15148683,1586563216099,1,158.15,ETH-PERPETUAL,158.2,buy,1.0
11837663,ETH-15148685,1586563218449,0,158.2,ETH-PERPETUAL,158.23,buy,1.0
11837664,ETH-15148686,1586563218449,1,158.2,ETH-PERPETUAL,158.23,buy,1000.0
11837665,ETH-15148687,1586563218449,0,158.25,ETH-PERPETUAL,158.23,buy,2.0
11837666,ETH-15148688,1586563218449,1,158.25,ETH-PERPETUAL,158.23,buy,1.0
11837667,ETH-15148689,1586563218449,1,158.25,ETH-PERPETUAL,158.23,buy,1.0
11837668,ETH-15148690,1586563218449,0,158.3,ETH-PERPETUAL,158.23,buy,1.0
11837669,ETH-15148691,1586563218449,1,158.3,ETH-PERPETUAL,158.23,buy,344.0
11837670,ETH-15148692,1586563218467,1,158.3,ETH-PERPETUAL,158.23,buy,1250.0
11837671,ETH-15148697,1586563218959,2,158.25,ETH-PERPETUAL,158.24,sell,500.0
11837672,ETH-15148698,1586563219042,0,158.3,ETH-PERPETUAL,158.24,buy,1.0
11837673,ETH-15148699,1586563219042,1,158.3,ETH-PERPETUAL,158.24,buy,1000.0
11837674,ETH-15148701,1586563219302,0,158.35,ETH-PERPETUAL,158.24,buy,2.0
11837675,ETH-15148702,1586563219302,1,158.35,ETH-PERPETUAL,158.24,buy,1.0
11837676,ETH-15148703,1586563219302,1,158.35,ETH-PERPETUAL,158.24,buy,1151.0
11837677,ETH-15148704,1586563219303,1,158.35,ETH-PERPETUAL,158.24,buy,3617.0
11837678,ETH-15148705,1586563219717,1,158.35,ETH-PERPETUAL,158.28,buy,1.0
11837679,ETH-15148706,1586563219717,1,158.35,ETH-PERPETUAL,158.28,buy,134.0
11837680,ETH-15148707,1586563219717,1,158.35,ETH-PERPETUAL,158.28,buy,1000.0
11837681,ETH-15148708,1586563219717,0,158.4,ETH-PERPETUAL,158.28,buy,1.0
11837682,ETH-15148709,1586563219717,1,158.4,ETH-PERPETUAL,158.28,buy,114.0
11837683,ETH-15148713,1586563219724,1,158.4,ETH-PERPETUAL,158.28,buy,1350.0
11837684,ETH-15148714,1586563219725,1,158.4,ETH-PERPETUAL,158.28,buy,1036.0
11837685,ETH-15148715,1586563219725,1,158.4,ETH-PERPETUAL,158.28,buy,1.0
11837686,ETH-15148716,1586563219725,1,158.4,ETH-PERPETUAL,158.28,buy,160.0
11837687,ETH-15148717,1586563219725,1,158.4,ETH-PERPETUAL,158.28,buy,53.0
11837688,ETH-15148718,1586563219726,1,158.4,ETH-PERPETUAL,158.28,buy,101.0
11837689,ETH-15148719,1586563219726,0,158.45,ETH-PERPETUAL,158.28,buy,1.0
11837690,ETH-15148720,1586563219726,1,158.45,ETH-PERPETUAL,158.28,buy,1248.0
11837691,ETH-15148721,1586563219726,1,158.45,ETH-PERPETUAL,158.28,buy,1250.0
11837692,ETH-15148724,1586563220801,2,158.3,ETH-PERPETUAL,158.32,sell,132.0
11837693,ETH-15148725,1586563220801,3,158.3,ETH-PERPETUAL,158.32,sell,368.0
11837694,ETH-15148726,1586563221550,0,158.45,ETH-PERPETUAL,158.32,buy,1.0
11837695,ETH-15148727,1586563221550,1,158.45,ETH-PERPETUAL,158.32,buy,832.0
11837696,ETH-15148728,1586563222013,1,158.45,ETH-PERPETUAL,158.37,buy,417.0
11837697,ETH-15148729,1586563222745,2,158.35,ETH-PERPETUAL,158.38,sell,129.0
11837698,ETH-15148730,1586563222745,2,158.3,ETH-PERPETUAL,158.38,sell,371.0
11837699,ETH-15148731,1586563222996,0,158.4,ETH-PERPETUAL,158.38,buy,1200.0
11837700,ETH-15148732,1586563223975,0,158.45,ETH-PERPETUAL,158.4,buy,1000.0
11837701,ETH-15148733,1586563223975,1,158.45,ETH-PERPETUAL,158.4,buy,313.0
11837702,ETH-15148734,1586563223976,1,158.45,ETH-PERPETUAL,158.4,buy,687.0
11837703,ETH-15148737,1586563224633,0,158.5,ETH-PERPETUAL,158.4,buy,1.0
11837704,ETH-15148738,1586563224633,1,158.5,ETH-PERPETUAL,158.4,buy,1.0
11837705,ETH-15148739,1586563224633,1,158.5,ETH-PERPETUAL,158.4,buy,1007.0
11837706,ETH-15148740,1586563224633,1,158.5,ETH-PERPETUAL,158.4,buy,931.0
11837707,ETH-15148741,1586563224640,1,158.5,ETH-PERPETUAL,158.4,buy,69.0
11837708,ETH-15148742,1586563224640,0,158.55,ETH-PERPETUAL,158.4,buy,1.0
11837709,ETH-15148743,1586563224640,1,158.55,ETH-PERPETUAL,158.4,buy,1.0
11837710,ETH-15148744,1586563224640,0,158.6,ETH-PERPETUAL,158.4,buy,4929.0
11837711,ETH-15148746,1586563225956,2,158.55,ETH-PERPETUAL,158.5,buy,1332.0
11837712,ETH-15148747,1586563225957,3,158.55,ETH-PERPETUAL,158.5,buy,507.0
11837713,ETH-15148748,1586563229717,3,158.55,ETH-PERPETUAL,158.57,sell,2000.0
11837714,ETH-15148749,1586563231839,3,158.55,ETH-PERPETUAL,158.56,buy,200.0
11837715,ETH-15148750,1586563231839,3,158.55,ETH-PERPETUAL,158.56,buy,573.0
11837716,ETH-15148751,1586563232475,3,158.55,ETH-PERPETUAL,158.56,sell,200.0
11837717,ETH-15148752,1586563232475,3,158.55,ETH-PERPETUAL,158.56,sell,2300.0
11837718,ETH-15148753,1586563232475,2,158.5,ETH-PERPETUAL,158.56,sell,1500.0
11837719,ETH-15148754,1586563232778,0,158.6,ETH-PERPETUAL,158.59,buy,1.0
11837720,ETH-15148755,1586563232778,1,158.6,ETH-PERPETUAL,158.59,buy,1.0
11837721,ETH-15148756,1586563232778,1,158.6,ETH-PERPETUAL,158.59,buy,1000.0
11837722,ETH-15148758,1586563232930,0,158.65,ETH-PERPETUAL,158.59,buy,1.0
11837723,ETH-15148759,1586563232930,1,158.65,ETH-PERPETUAL,158.59,buy,1.0
11837724,ETH-15148760,1586563232930,1,158.65,ETH-PERPETUAL,158.59,buy,1000.0
11837725,ETH-15148763,1586563234286,0,158.7,ETH-PERPETUAL,158.62,buy,500.0
11837726,ETH-15148764,1586563234286,1,158.7,ETH-PERPETUAL,158.62,buy,100.0
11837727,ETH-15148765,1586563234286,1,158.7,ETH-PERPETUAL,158.62,buy,1.0
11837728,ETH-15148766,1586563234286,1,158.7,ETH-PERPETUAL,158.62,buy,1.0
11837729,ETH-15148767,1586563234286,1,158.7,ETH-PERPETUAL,158.62,buy,1839.0
11837730,ETH-15148768,1586563235170,1,158.7,ETH-PERPETUAL,158.68,buy,1588.0
11837731,ETH-15148769,1586563235170,0,158.75,ETH-PERPETUAL,158.68,buy,1.0
11837732,ETH-15148770,1586563235170,1,158.75,ETH-PERPETUAL,158.68,buy,1.0
11837733,ETH-15148771,1586563235170,1,158.75,ETH-PERPETUAL,158.68,buy,1000.0
11837734,ETH-15148772,1586563235170,0,158.8,ETH-PERPETUAL,158.68,buy,1.0
11837735,ETH-15148773,1586563235170,1,158.8,ETH-PERPETUAL,158.68,buy,1.0
11837736,ETH-15148774,1586563235170,1,158.8,ETH-PERPETUAL,158.68,buy,462.0
11837737,ETH-15148775,1586563235170,1,158.8,ETH-PERPETUAL,158.68,buy,250.0
11837738,ETH-15148776,1586563235170,0,158.85,ETH-PERPETUAL,158.68,buy,1.0
11837739,ETH-15148777,1586563235170,1,158.85,ETH-PERPETUAL,158.68,buy,1.0
11837740,ETH-15148778,1586563235170,1,158.85,ETH-PERPETUAL,158.68,buy,2500.0
11837741,ETH-15148779,1586563235170,1,158.85,ETH-PERPETUAL,158.68,buy,194.0
11837742,ETH-15148780,1586563235326,2,158.7,ETH-PERPETUAL,158.68,buy,1587.0
11837743,ETH-15148781,1586563235326,0,158.85,ETH-PERPETUAL,158.68,buy,353.0
11837744,ETH-15148782,1586563235331,1,158.85,ETH-PERPETUAL,158.68,buy,8000.0
11837745,ETH-15148783,1586563238859,2,158.65,ETH-PERPETUAL,158.63,buy,100.0
11837746,ETH-15148784,1586563238859,3,158.65,ETH-PERPETUAL,158.63,buy,200.0
11837747,ETH-15148785,1586563238859,3,158.65,ETH-PERPETUAL,158.63,buy,1050.0
11837748,ETH-15148786,1586563238928,3,158.65,ETH-PERPETUAL,158.63,buy,536.0
11837749,ETH-15148787,1586563238928,3,158.65,ETH-PERPETUAL,158.63,buy,814.0
11837750,ETH-15148788,1586563239260,3,158.65,ETH-PERPETUAL,158.63,buy,186.0
11837751,ETH-15148789,1586563239260,3,158.65,ETH-PERPETUAL,158.63,buy,1065.0
11837752,ETH-15148790,1586563239261,3,158.65,ETH-PERPETUAL,158.63,buy,521.0
11837753,ETH-15148791,1586563239261,3,158.65,ETH-PERPETUAL,158.63,buy,250.0
11837754,ETH-15148792,1586563239261,0,158.75,ETH-PERPETUAL,158.63,buy,479.0
11837755,ETH-15148793,1586563239276,2,158.65,ETH-PERPETUAL,158.63,buy,1586.0
11837756,ETH-15148797,1586563239304,3,158.65,ETH-PERPETUAL,158.63,buy,1586.0
11837757,ETH-15148798,1586563239342,3,158.65,ETH-PERPETUAL,158.63,buy,1586.0
11837758,ETH-15148799,1586563239383,3,158.65,ETH-PERPETUAL,158.63,buy,1586.0
11837759,ETH-15148800,1586563239407,3,158.65,ETH-PERPETUAL,158.63,buy,1000.0
11837760,ETH-15148801,1586563239407,3,158.65,ETH-PERPETUAL,158.63,buy,1586.0
11837761,ETH-15148803,1586563239890,3,158.65,ETH-PERPETUAL,158.64,buy,517.0
11837762,ETH-15148804,1586563239896,3,158.65,ETH-PERPETUAL,158.64,buy,483.0
11837763,ETH-15148807,1586563241679,0,158.8,ETH-PERPETUAL,158.67,buy,1000.0
