trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount,liquidation
11704999,ETH-14990942,1586217602829,0,171.5,ETH-PERPETUAL,171.59,sell,100.0,
11705000,ETH-14990943,1586217602829,2,171.45,ETH-PERPETUAL,171.59,sell,1150.0,
11705001,ETH-14990944,1586217603842,0,171.5,ETH-PERPETUAL,171.58,buy,4500.0,
11705002,ETH-14990945,1586217603842,1,171.5,ETH-PERPETUAL,171.58,buy,3000.0,
11705003,ETH-14990946,1586217603842,0,171.55,ETH-PERPETUAL,171.58,buy,3.0,
11705004,ETH-14990947,1586217603842,1,171.55,ETH-PERPETUAL,171.58,buy,3000.0,
11705005,ETH-14990948,1586217603842,1,171.55,ETH-PERPETUAL,171.58,buy,200.0,
11705006,ETH-14990949,1586217603842,0,171.6,ETH-PERPETUAL,171.58,buy,3000.0,
11705007,ETH-14990950,1586217603842,1,171.6,ETH-PERPETUAL,171.58,buy,800.0,
11705008,ETH-14990951,1586217603842,1,171.6,ETH-PERPETUAL,171.58,buy,200.0,
11705009,ETH-14990952,1586217603842,1,171.6,ETH-PERPETUAL,171.58,buy,250.0,
11705010,ETH-14990953,1586217603842,0,171.65,ETH-PERPETUAL,171.58,buy,2000.0,
11705011,ETH-14990954,1586217603842,0,171.7,ETH-PERPETUAL,171.58,buy,3000.0,
11705012,ETH-14990955,1586217603842,1,171.7,ETH-PERPETUAL,171.58,buy,4204.0,
11705013,ETH-14990956,1586217603842,1,171.7,ETH-PERPETUAL,171.58,buy,1553.0,
11705014,ETH-14990958,1586217605352,2,171.6,ETH-PERPETUAL,171.58,buy,1.0,
11705015,ETH-14990959,1586217605352,0,171.7,ETH-PERPETUAL,171.58,buy,78.0,
11705016,ETH-14990960,1586217612334,2,171.55,ETH-PERPETUAL,171.67,sell,3.0,
11705017,ETH-14990961,1586217613205,2,171.5,ETH-PERPETUAL,171.65,sell,1.0,
11705018,ETH-14990963,1586217617483,3,171.5,ETH-PERPETUAL,171.6,sell,11.0,
11705019,ETH-14990964,1586217617483,3,171.5,ETH-PERPETUAL,171.6,sell,1.0,
11705020,ETH-14990965,1586217617483,3,171.5,ETH-PERPETUAL,171.6,sell,1110.0,
11705021,ETH-14990966,1586217617936,2,171.45,ETH-PERPETUAL,171.58,sell,113.0,
