trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount
11779917,ETH-15077925,1586390408819,1,173.35,ETH-PERPETUAL,173.41,sell,1.0
11779918,ETH-15077926,1586390408819,1,173.35,ETH-PERPETUAL,173.41,sell,1.0
11779919,ETH-15077927,1586390408819,1,173.35,ETH-PERPETUAL,173.41,sell,691.0
11779920,ETH-15077928,1586390417796,0,173.4,ETH-PERPETUAL,173.37,buy,20.0
11779921,ETH-15077929,1586390417796,1,173.4,ETH-PERPETUAL,173.37,buy,90.0
11779922,ETH-15077930,1586390417796,1,173.4,ETH-PERPETUAL,173.37,buy,4.0
11779923,ETH-15077931,1586390417796,1,173.4,ETH-PERPETUAL,173.37,buy,3.0
11779924,ETH-15077932,1586390417796,1,173.4,ETH-PERPETUAL,173.37,buy,495.0
11779925,ETH-15077933,1586390418220,1,173.4,ETH-PERPETUAL,173.37,buy,28.0
11779926,ETH-15077934,1586390420599,1,173.4,ETH-PERPETUAL,173.37,buy,648.0
11779927,ETH-15077935,1586390423655,1,173.4,ETH-PERPETUAL,173.38,sell,100.0
11779928,ETH-15077936,1586390423655,1,173.4,ETH-PERPETUAL,173.38,sell,116.0
11779929,ETH-15077937,1586390427398,2,173.35,ETH-PERPETUAL,173.37,sell,1.0
11779930,ETH-15077938,1586390427398,3,173.35,ETH-PERPETUAL,173.37,sell,1.0
11779931,ETH-15077939,1586390427398,3,173.35,ETH-PERPETUAL,173.37,sell,900.0
11779932,ETH-15077940,1586390428831,2,173.3,ETH-PERPETUAL,173.33,sell,110.0
11779933,ETH-15077941,1586390428831,3,173.3,ETH-PERPETUAL,173.33,sell,1.0
11779934,ETH-15077942,1586390428831,2,173.25,ETH-PERPETUAL,173.33,sell,3000.0
11779935,ETH-15077943,1586390428831,3,173.25,ETH-PERPETUAL,173.33,sell,70.0
11779936,ETH-15077944,1586390428831,3,173.25,ETH-PERPETUAL,173.33,sell,2.0
11779937,ETH-15077945,1586390428831,3,173.25,ETH-PERPETUAL,173.33,sell,1.0
11779938,ETH-15077946,1586390428831,3,173.25,ETH-PERPETUAL,173.33,sell,800.0
