trade_seq,trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount,liquidation
12535425,ETH-16025544,1588464006286,0,214.2,ETH-PERPETUAL,214.15,buy,20.0,
12535426,ETH-16025545,1588464006286,1,214.2,ETH-PERPETUAL,214.15,buy,1.0,
12535427,ETH-16025546,1588464007685,0,214.25,ETH-PERPETUAL,214.17,buy,1879.0,
12535428,ETH-16025547,1588464016373,2,214.15,ETH-PERPETUAL,214.15,sell,5.0,
12535429,ETH-16025548,1588464016373,3,214.15,ETH-PERPETUAL,214.15,sell,2.0,
12535430,ETH-16025549,1588464021640,2,214.1,ETH-PERPETUAL,214.11,sell,19.0,
12535431,ETH-16025550,1588464021640,3,214.1,ETH-PERPETUAL,214.11,sell,1.0,
12535432,ETH-16025551,1588464021640,3,214.1,ETH-PERPETUAL,214.11,sell,1.0,
12535433,ETH-16025552,1588464023508,2,214.05,ETH-PERPETUAL,214.08,sell,1.0,
12535434,ETH-16025553,1588464032257,2,214.0,ETH-PERPETUAL,214.0,sell,24.0,
12535435,ETH-16025554,1588464033267,2,213.95,ETH-PERPETUAL,213.99,sell,1.0,
12535436,ETH-16025555,1588464039391,3,213.95,ETH-PERPETUAL,213.97,buy,1.0,
12535437,ETH-16025556,1588464042419,0,214.05,ETH-PERPETUAL,214.0,buy,1.0,
12535438,ETH-16025557,1588464053415,0,214.1,ETH-PERPETUAL,214.04,buy,47.0,
12535439,ETH-16025558,1588464093249,1,214.1,ETH-PERPETUAL,214.06,buy,74.0,
12535440,ETH-16025559,1588464108266,0,214.2,ETH-PERPETUAL,214.18,sell,10.0,
12535441,ETH-16025560,1588464128113,0,214.25,ETH-PERPETUAL,214.19,buy,8.0,
12535442,ETH-16025561,1588464128113,1,214.25,ETH-PERPETUAL,214.19,buy,1.0,
12535443,ETH-16025564,1588464128244,0,214.3,ETH-PERPETUAL,214.19,buy,500.0,
12535444,ETH-16025566,1588464144740,1,214.3,ETH-PERPETUAL,214.26,sell,500.0,
12535445,ETH-16025575,1588464157511,2,214.2,ETH-PERPETUAL,214.22,buy,13.0,
12535446,ETH-16025576,1588464195795,0,214.3,ETH-PERPETUAL,214.26,buy,19.0,
12535447,ETH-16025577,1588464213835,1,214.3,ETH-PERPETUAL,214.33,sell,19.0,
12535448,ETH-16025578,1588464213835,1,214.3,ETH-PERPETUAL,214.33,sell,100.0,
12535449,ETH-16025579,1588464213835,1,214.3,ETH-PERPETUAL,214.33,sell,881.0,
12535450,ETH-16025580,1588464240162,1,214.3,ETH-PERPETUAL,214.3,buy,10.0,
12535451,ETH-16025581,1588464251649,1,214.3,ETH-PERPETUAL,214.28,buy,350.0,
12535452,ETH-16025582,1588464276805,1,214.3,ETH-PERPETUAL,214.3,buy,6.0,
12535453,ETH-16025583,1588464280668,1,214.3,ETH-PERPETUAL,214.3,sell,58.0,
12535454,ETH-16025584,1588464293668,1,214.3,ETH-PERPETUAL,214.27,buy,6.0,
12535455,ETH-16025585,1588464303899,1,214.3,ETH-PERPETUAL,214.29,buy,52.0,
12535456,ETH-16025588,1588464355490,1,214.3,ETH-PERPETUAL,214.33,buy,11.0,
12535457,ETH-16025589,1588464355490,1,214.3,ETH-PERPETUAL,214.33,buy,100.0,
12535458,ETH-16025590,1588464369097,1,214.3,ETH-PERPETUAL,214.32,buy,448.0,
12535459,ETH-16025591,1588464369097,1,214.3,ETH-PERPETUAL,214.32,buy,18.0,
12535460,ETH-16025592,1588464370401,1,214.3,ETH-PERPETUAL,214.32,buy,420.0,
12535461,ETH-16025599,1588464381315,1,214.3,ETH-PERPETUAL,214.33,buy,1.0,
12535462,ETH-16025600,1588464381321,2,214.25,ETH-PERPETUAL,214.33,sell,1.0,
12535463,ETH-16025601,1588464396672,0,214.3,ETH-PERPETUAL,214.35,buy,6.0,
12535464,ETH-16025603,1588464403918,2,214.25,ETH-PERPETUAL,214.34,sell,10.0,
12535465,ETH-16025604,1588464403918,3,214.25,ETH-PERPETUAL,214.34,sell,20.0,
12535466,ETH-16025605,1588464412133,2,214.15,ETH-PERPETUAL,214.22,sell,500.0,
12535467,ETH-16025606,1588464412133,3,214.15,ETH-PERPETUAL,214.22,sell,3700.0,
12535468,ETH-16025607,1588464412138,2,214.05,ETH-PERPETUAL,214.22,sell,2.0,
12535469,ETH-16025609,1588464412473,3,214.05,ETH-PERPETUAL,214.22,sell,1000.0,
12535470,ETH-16025610,1588464412473,3,214.05,ETH-PERPETUAL,214.22,sell,970.0,
12535471,ETH-16025612,1588464412914,3,214.05,ETH-PERPETUAL,214.16,sell,5351.0,
12535472,ETH-16025613,1588464412914,3,214.05,ETH-PERPETUAL,214.16,sell,1.0,
12535473,ETH-16025615,1588464454780,0,214.1,ETH-PERPETUAL,214.09,buy,100.0,
12535474,ETH-16025616,1588464488055,2,214.05,ETH-PERPETUAL,214.06,sell,8.0,
12535475,ETH-16025617,1588464488055,3,214.05,ETH-PERPETUAL,214.06,sell,3.0,
12535476,ETH-16025618,1588464488279,2,214.0,ETH-PERPETUAL,214.05,sell,500.0,
12535477,ETH-16025619,1588464492164,2,213.95,ETH-PERPETUAL,214.01,sell,4.0,
12535478,ETH-16025620,1588464492164,3,213.95,ETH-PERPETUAL,214.01,sell,96.0,
12535479,ETH-16025621,1588464494576,3,213.95,ETH-PERPETUAL,213.96,sell,6.0,
12535480,ETH-16025622,1588464508652,0,214.0,ETH-PERPETUAL,213.98,buy,1.0,
12535481,ETH-16025623,1588464508652,1,214.0,ETH-PERPETUAL,213.98,buy,1.0,
12535482,ETH-16025624,1588464525534,1,214.0,ETH-PERPETUAL,214.0,sell,10.0,
12535483,ETH-16025625,1588464525534,1,214.0,ETH-PERPETUAL,214.0,sell,490.0,
12535484,ETH-16025626,1588464536618,0,214.05,ETH-PERPETUAL,214.04,buy,50.0,
12535485,ETH-16025627,1588464545514,0,214.1,ETH-PERPETUAL,214.11,sell,50.0,
12535486,ETH-16025628,1588464573206,1,214.1,ETH-PERPETUAL,214.11,sell,1.0,
12535487,ETH-16025629,1588464573206,1,214.1,ETH-PERPETUAL,214.11,sell,2.0,
12535488,ETH-16025630,1588464573206,1,214.1,ETH-PERPETUAL,214.11,sell,1.0,
