,date,timestamp,price
651977,2020-01-01,1577923199907,130.25
664855,2020-01-02,1578009580048,126.8
692684,2020-01-03,1578095999131,134.2
703990,2020-01-04,1578182282903,134.15
715687,2020-01-05,1578268796974,135.35
731871,2020-01-06,1578355182115,144.15
747122,2020-01-07,1578441594192,143.0
766801,2020-01-08,1578527999943,140.55
779331,2020-01-09,1578614327627,137.7
794914,2020-01-10,1578700765611,144.9
808659,2020-01-11,1578787194701,142.55
819849,2020-01-12,1578873587388,146.6
828713,2020-01-13,1578959999228,143.6
898221,2020-01-14,1579046399702,165.85
935872,2020-01-15,1579132787788,166.45
955859,2020-01-16,1579219195759,164.15
994832,2020-01-17,1579305596009,169.7
1025827,2020-01-18,1579391994504,174.15
1064067,2020-01-19,1579478399780,166.8
1083500,2020-01-20,1579564783980,166.6
1101664,2020-01-21,1579651199994,169.35
1113383,2020-01-22,1579737543794,167.65
1130762,2020-01-23,1579823956382,162.5
1149468,2020-01-24,1579910297209,162.4
1158036,2020-01-25,1579996766508,160.2
1170191,2020-01-26,1580083153318,167.6
1192174,2020-01-27,1580169584723,169.85
1214637,2020-01-28,1580255998182,176.05
1230463,2020-01-29,1580342392210,173.45
1255534,2020-01-30,1580428795454,184.7
1278603,2020-01-31,1580515152063,179.8
1290117,2020-02-01,1580601550618,183.55
1311451,2020-02-02,1580687998398,188.2
1338451,2020-02-03,1580774389053,189.65
1355782,2020-02-04,1580860799219,188.35
1384429,2020-02-05,1580947179445,204.0
1428191,2020-02-06,1581033483824,213.1
1465172,2020-02-07,1581119985905,223.3
1498547,2020-02-08,1581206396034,223.45
1519142,2020-02-09,1581292793253,228.9
1552247,2020-02-10,1581379186868,223.2
1581510,2020-02-11,1581465590430,238.1
1644407,2020-02-12,1581551997042,266.6
1716483,2020-02-13,1581638397336,268.7
1760023,2020-02-14,1581724799675,286.35
1800289,2020-02-15,1581811198793,265.0
1862112,2020-02-16,1581897599802,258.85
1928229,2020-02-17,1581983999967,268.4
1979690,2020-02-18,1582070397721,283.55
2039498,2020-02-19,1582156799979,258.45
2100503,2020-02-20,1582243196307,257.45
2131197,2020-02-21,1582329594276,265.85
2151551,2020-02-22,1582415992281,261.95
2176757,2020-02-23,1582502398375,275.7
2224953,2020-02-24,1582588792921,265.55
2272762,2020-02-25,1582675198565,246.65
2356212,2020-02-26,1582761599858,223.8
2425803,2020-02-27,1582847999000,227.9
2482348,2020-02-28,1582934391364,227.35
2508853,2020-02-29,1583020799922,217.35
2549440,2020-03-01,1583107198421,217.55
2578928,2020-03-02,1583193599822,232.2
2615831,2020-03-03,1583279999963,223.7
2649703,2020-03-04,1583366387095,224.4
2677637,2020-03-05,1583452784642,228.5
2701248,2020-03-06,1583539191160,245.65
2727410,2020-03-07,1583625558140,237.7
2798393,2020-03-08,1583711998999,199.45
2880944,2020-03-09,1583798396870,202.75
2922850,2020-03-10,1583884794715,200.65
2966108,2020-03-11,1583971172966,194.75
3069745,2020-03-12,1584057597007,105.75
3137477,2020-03-13,1584143992519,134.95
3163267,2020-03-14,1584230396604,122.2
3189200,2020-03-15,1584316790443,123.35
3241869,2020-03-16,1584403191550,111.15
3273156,2020-03-17,1584489599304,115.8
3298815,2020-03-18,1584575992257,118.5
3330287,2020-03-19,1584662396452,136.8
3381074,2020-03-20,1584748799316,133.35
3415668,2020-03-21,1584835197316,132.7
3444312,2020-03-22,1584921597251,122.3
3477479,2020-03-23,1585007966387,136.45
3506063,2020-03-24,1585094395519,138.85
3530630,2020-03-25,1585180799668,136.2
3549979,2020-03-26,1585267156893,138.85
3568804,2020-03-27,1585353597565,131.3
3593451,2020-03-28,1585439995600,131.1
3608330,2020-03-29,1585526378554,124.3
3626728,2020-03-30,1585612795167,132.1
3643022,2020-03-31,1585699198604,133.0
3660350,2020-04-01,1585785596724,136.15
3691542,2020-04-02,1585871991750,141.4
3714618,2020-04-03,1585958397272,141.4
3729882,2020-04-04,1586044758648,144.35
3740958,2020-04-05,1586131159208,142.8
3778280,2020-04-06,1586217593678,171.4
3819708,2020-04-07,1586303975984,164.55
3853360,2020-04-08,1586390390274,173.35
3874624,2020-04-09,1586476799538,169.7
3911173,2020-04-10,1586563198601,158.0
3932934,2020-04-11,1586649557351,158.55
3958565,2020-04-12,1586735995852,158.75
3995790,2020-04-13,1586822399780,156.75
4019381,2020-04-14,1586908796156,158.65
4047815,2020-04-15,1586995192091,152.6
4096124,2020-04-16,1587081599585,172.55
4119078,2020-04-17,1587167989621,170.8
4150756,2020-04-18,1587254381379,187.8
4183522,2020-04-19,1587340794353,180.15
4229754,2020-04-20,1587427198079,170.25
4258308,2020-04-21,1587513581645,171.0
4283627,2020-04-22,1587599999981,183.1
4321235,2020-04-23,1587686398786,185.65
4346338,2020-04-24,1587772792927,187.7
4378258,2020-04-25,1587859195173,194.35
4408042,2020-04-26,1587945598039,197.85
4434340,2020-04-27,1588031994200,196.7
4454112,2020-04-28,1588118399877,196.65
4502010,2020-04-29,1588204799430,215.75
4566419,2020-04-30,1588291198712,206.15
4595401,2020-05-01,1588377599974,212.05
4610503,2020-05-02,1588463957176,214.15
4636668,2020-05-03,1588550399874,210.0
4676387,2020-05-04,1588636791491,206.9
4706289,2020-05-05,1588723197807,205.4
4742675,2020-05-06,1588809599988,198.95
4786032,2020-05-07,1588895986765,212.4
4809025,2020-05-08,1588982398218,211.65
4829711,2020-05-09,1589068796204,210.2
4900197,2020-05-10,1589155197102,187.7
4944664,2020-05-11,1589241597395,185.8
4967676,2020-05-12,1589327963795,189.85
4988360,2020-05-13,1589414363274,199.75
5022214,2020-05-14,1589500781811,203.3
5053835,2020-05-15,1589587194282,194.55
5073356,2020-05-16,1589673476824,200.35
5099125,2020-05-17,1589759895007,207.0
5129826,2020-05-18,1589846384565,214.8
5150999,2020-05-19,1589932797105,214.85
5174245,2020-05-20,1590019199976,209.8
5211301,2020-05-21,1590105599738,198.5
5238008,2020-05-22,1590191999920,207.3
5255302,2020-05-23,1590278373335,206.6
5281773,2020-05-24,1590364799981,199.65
5301372,2020-05-25,1590451159963,204.05
5320440,2020-05-26,1590537599061,200.8
5337999,2020-05-27,1590623999754,208.65
5363371,2020-05-28,1590710399887,220.55
5389225,2020-05-29,1590796731460,220.7
5427634,2020-05-30,1590883182322,243.85
5458250,2020-05-31,1590969599346,231.35
